work_id,verdict,why
6906250862,completed,"'We were unable to replicate the main results' — but of a PRIOR class project; this registration is the prospective re-do"
6943876714,completed,"'In Table 1 I replicate models 1-3 from Kerner... present these results in Models 4-6 in Table 2'"
6887678991,completed,"'We conducted a study with 101 participants and found' — in the van 't Veer template's PRIOR-WORK field (question5a)"
2915899527,completed,"'at the time of acceptance to Perspectives on Psychological Science' — an inference; the record states no result"
6963239143,completed,"q10 'Registration following analysis of the data'; reports flower-phase durations and visitor rates"
6887793336,unclear,"data collected and 'looked: Yes', but no stated outcome"
6906294366,unclear,"archived course materials, not a study report"
6887735272,unclear,"datacompletion Yes (underway/complete) but no outcome stated"
6962335555,unclear,"template line only"
6887801429,unclear,"template line only"
6906497029,unclear,"'looked: No' only"
6887706261,unclear,"template line only"
6962877538,unclear,"'Results of PDR1 confirms' — results of a prior related study"
2780275205,unclear,"'Post-registration', collection complete, no outcome stated"
6906524265,unclear,"'summary: Post-registration' only"
6887691131,unclear,"'looked: No' only"
6925461132,unclear,"'Study 1 and 2 data have been analyzed' but no outcome stated"
2785917823,unclear,"mentions a posted Replication Report; no outcome here"
2903594989,unclear,"'looked: Yes' and data complete, but only planned sample size given"
6925243411,unclear,"'at least some data collected already' but analysis future tense"
2917085300,unclear,"materials link comment only"
6962527281,unclear,"'underway or complete', no results stated"
6925069539,unclear,"'underway or complete', 'looked: Yes', no results"
6887693698,unclear,"'Replication Report was posted' but no results text"
6906447645,unclear,"'underway or complete' but no results"
6906434310,unclear,"'underway or complete', 'looked: Yes', no results"
6887708820,unclear,"'looked: No' only"
6962697392,unclear,"'looked: No' only"
6943709253,unclear,"template name only"
2783063591,unclear,"near-empty, 'looked: No'"
6925191264,unclear,"data already collected, no outcome shown"
6925264481,unclear,"near-empty, 'looked: No'"
6962533588,unclear,"collection underway, 'not yet looked at the data'"
6944051663,unclear,"collection underway, lead 'blind to all data and results'"
6925197773,unclear,"'already collected some data', no analysis outcome"
6906432580,unclear,"'Post-Registration' only"
2785217564,unclear,"materials-link comment only"
6943849295,unclear,"'data collection is underway or complete', no outcome"
6925225183,unclear,"post-data-collection registration, no stated outcome"
6943916714,unclear,"text ends after the template name"
2900443611,unclear,"'at least some data have been collected', no outcome"
