doi,work_id,title,year,best_sibling_overlap,n_records,admitted_c048
10.1001/archgenpsychiatry.2011.73,21727247,41304 室・ダクト系の風量予測計算における収束計算法,1996.0,0.0,2,False
10.1001/archgenpsychiatry.2011.73,2120734658,Antidepressant Use During Pregnancy and Childhood Autism Spectrum Disorders,2011.0,0.0,2,False
10.1001/archopht.126.10.1359,2102332317,Longitudinal Measurement Variability of Corneal Birefringence and Retinal Nerve Fiber Layer Thickness in Scanning Laser Polarimetry With Variable Corneal Compensation,2008.0,0.0,2,False
10.1001/archopht.126.10.1359,18852413,Cascade or domino effects in flood impact analysis in GIS,2007.0,0.0,2,False
10.1001/archopht.1983.01040020449024,6615314,The Relationship between Kim and the thesoo lama as seen in Rudyard Kipling's Kim,2004.0,0.0,2,False
10.1001/archopht.1983.01040020449024,2044356897,A Practical Venomanometer,1983.0,0.0,2,False
10.1001/archopht.1990.01070070134052,2334336,Development of a Self-Leveling Shock Absorber for Vehicle,2007.0,0.0,2,False
10.1001/archopht.1990.01070070134052,2075026734,Use of Infrared Videography to Detect and Record Iris Transillumination Defects,1990.0,0.0,2,False
10.1001/archopht.1994.01090240130041,7993222,El capital social como problema cultural,2002.0,0.0,2,False
10.1001/archopht.1994.01090240130041,2085551576,Cellulose Sponge Punch for Controlled Mitomycin Application,1994.0,0.0,2,False
10.1001/archoto.2009.219,20157068,Essays in Education Policy,2011.0,0.0,2,True
10.1001/archoto.2009.219,2078082844,"Association of IL1A, IL1B, and TNF Gene Polymorphisms With Chronic Rhinosinusitis With and Without Nasal Polyposis",2010.0,0.0,2,True
10.1001/archotol.133.6.587,17576910,Compétence des juridictions françaises et décision étrangère de forum non conveniens,2009.0,0.0,2,False
10.1001/archotol.133.6.587,2027418937,Evolution of Middle Ear Changes After Permanent Eustachian Tube Blockage,2007.0,0.0,2,False
10.1001/archotol.1987.01860120047006,3314912,"短冊状素子の台形化による送受別構成スロット励振パッチアンテナ間の結合低減特性(アンテナ設計・解析,アダプティブアンテナ,MIMO及び無線信号処理技術,一般)",2007.0,0.0,2,False
10.1001/archotol.1987.01860120047006,2098756890,A Comparison of Flow Cytometric DNA Analyses of Fresh and Fixed Squamous Cell Carcinomas,1987.0,0.0,2,False
10.1001/archotol.1988.01860160071024,3348898,The Future of Preservation Education: Notes from the PI Institute,1993.0,0.0,2,False
10.1001/archotol.1988.01860160071024,2047643243,Radiosensitivity of Head and Neck Cancer Cells In Vitro: A 96-Well Plate Clonogenic Cell Assay for Squamous Cell Carcinoma,1988.0,0.0,2,False
10.1001/archpedi.1987.04460050048028,3578161,Setting the social scene: how libraries can provide opportunities for intercultural mixing,2013.0,0.0,2,False
10.1001/archpedi.1987.04460050048028,1999263854,Measurement of Bone Mineral Content in the Term and Preterm Infant,1987.0,0.0,2,False
10.1001/archpsyc.1981.01780310086009,7247632,Basagran plus Vistar for control of red rice and sesbania in soybeans.,1980.0,0.0,2,True
10.1001/archpsyc.1981.01780310086009,2002299970,Diagnostic Interview for Borderline Patients,1981.0,0.0,2,True
