work_id,old,v1,v1_method,v2,v2_method,truth_keys,not_a_replication
W1521097961,right,right,llm_references,right,llm_references,@naj2010,False
W176265305,right,right,llm_references,right,llm_references,@prigerson1995b,False
W1771823445,right,right,llm_references,right,llm_references,@grasby1993,False
W195104432,right,none,target_pending,none,target_pending,not_on_list,False
W1964529863,right,right,llm_references,right,llm_references,@walsh1971 @altman1968,False
W1966139138,right,right,llm_references,right,llm_references,@simons2011,False
W1967997943,right,right,llm_references,right,llm_references,@luthar1998,False
W1969237464,right,right,llm_references,right,llm_references,@jiang2010,False
W1973118694,right,right,llm_references,right,llm_references,@hadjikhani2004,False
W1973122849,right,right,llm_references,right,llm_references,@berg1988,False
W1980936285,right,right,llm_references,right,llm_references,@martinsen1993,False
W1982594477,right,right,llm_references,right,llm_references,@taylor2012,False
W1983161251,right,right,llm_references,right,llm_references,@kirk1983,False
W1984196654,right,right,llm_references,right,llm_references,@flavin2006,False
W1984604010,right,right,llm_references,right,llm_references,@crow1989,False
W1987244237,right,right,llm_references,right,llm_references,@fjellstedt1973,False
W1988799899,right,right,llm_references,right,llm_references,@kakiuchi2004 @chen2004,False
W1994533505,right,right,llm_references,right,llm_references,@papassotiropoulos2006,False
W1995762476,right,right,llm_references,right,llm_references,@titov2008,False
W2001858347,right,right,llm_references,right,llm_references,@fornage2011,False
W2003328263,right,right,llm_references,right,llm_references,@yamada2007,False
W2012166465,right,right,llm_references,right,llm_references,@pfeiffer1981,False
W2015123399,right,right,llm_references,right,llm_references,@nijenhuis1996 @nijenhuis1997,False
W2020060357,right,right,llm_references,right,llm_references,@rowley1977,False
W2024124148,right,right,llm_references,right,llm_references,@keltikangasjrvinen1993,False
W2025439004,right,right,llm_references,right,llm_references,@zhou2014,False
W2041962819,right,right,llm_references,right,llm_references,@murray1990,False
W2044943750,right,right,llm_references,right,llm_references,@holly2010,False
W2047469948,right,right,llm_references,right,llm_references,@smyth1972,False
W2049839209,right,right,llm_references,right,llm_title_search,@lorentzen2007,False
W2053537456,right,right,llm_references,right,llm_references,@schnake1986,False
W2064271395,right,right,llm_references,right,llm_references,@anderson1984,False
W2069359258,right,right,llm_references,right,llm_references,@cui2010,False
W2075456319,right,none,target_pending,none,target_pending,@yang2003,False
W2077804534,right,right,llm_references,right,llm_references,@matzler2006,False
W2086756898,right,right,llm_references,right,llm_references,@newton2003,False
W2092106350,right,right,llm_references,right,llm_references,@hagemann2002,False
W2093345556,right,none,target_pending,none,target_pending,@blalock1968,False
W2095864928,right,right,llm_references,right,llm_references,@knutson2004,False
W2104755979,partial,partial,llm_title_search,partial,llm_title_search,@kanemoto2000 @virta2002 @kanemoto2003 @peltola2001 @stgmann2002 @gambardella2003 @walz2003 @briellmann2000 @chou2003b @chou2003,False
W2116883460,right,right,llm_references,right,llm_references,@lowe1993,False
W2117844119,right,right,llm_references,right,llm_references,@mattay2003,False
W2119271910,right,right,llm_references,right,llm_references,@dupoux1999,False
W2120814713,right,right,llm_references,right,llm_references,@bowers2006,False
W2121346405,right,right,llm_references,right,llm_references,@nalls2011,False
W2123103695,right,right,llm_references,right,llm_references,@mahon2001,False
W2123294834,right,right,llm_references,right,llm_references,@jacobs2002,False
W2124578438,right,none,target_pending,none,target_pending,@graen1982,False
W2125426425,right,right,llm_references,right,llm_references,@cooper1988,False
W2127819969,wrong,right,llm_references,right,llm_references,@abrahams1999,False
W2128411464,right,right,llm_references,right,llm_references,@steiner1996,False
W2137148722,right,right,llm_references,right,llm_references,@chan2013b,False
