pair_id,doi_r,doi_o,outcome,link_method,pdf_source,parse_method,has_abs,model,n_entries,pre_file,pre_rung,pre_prov,pre_resolved,pre_match,pre_outcome,pre_reason,pre_all,ft_file,ft_rung,ft_prov,ft_resolved,ft_match,ft_outcome,ft_reason,ft_all,cause
49d6c4817d29125527f62969627acaea,,10.1037/a0021524,cannot_be_determined,llm_author_year_search,,,True,gpt-5.4-mini,2,cache/llm/targetoutcome_bc7244b94c857b862721877d6cbc6244_8442313cac2a92f25a5b51e6efad44aa.json,abstract_or_refs,,False,,,,,,,,,,,,,D_no_document
c36ba0e10e592eddedd3841370b47812,,10.1016/0005-7916(75)90066-x,cannot_be_determined,llm_cited_candidates,,,True,gpt-5.4-mini,4,cache/llm/targetoutcome_10a3c23b417e94f4765a73110e0a0af1_db66d4339d1262afb40a392241ce314a.json,abstract_or_refs,,False,,,,,,,,,,,,,D_no_document
e1f145935be7129904019c22adec0de5,,10.1080/10437797.1998.10778906,cannot_be_determined,llm_references,,,True,gpt-5.4-mini,2,cache/llm/targetoutcome_8ef5f122337a89efe6d41b31cd9c6907_9ba3cb2baea15d12db1fca7300c36765.json,abstract_or_refs,,True,doi,successful,"The abstract reports the replication's results as significantly favoring live instruction, which indicates the original comparison was supported rather than contradicted.",successful,,,,,,,,,D_no_document
e3a32af88046f68ab92fa3dd18725e81,10.3928/0148-4834-19981001-05,10.3928/0148-4834-19940301-08,cannot_be_determined,llm_references,,,True,gpt-5.6-luna,3,cache/llm/targetoutcome_f00490da1c7460448eb881b2ace4c369_33af941e944c5a84f6cb2fb00eb68478.json,abstract_or_refs,,True,doi,cannot_be_determined,"Although the paper identifies the work as a direct replication, the supplied results do not explicitly state whether the original finding about absent orientation information was replicated or contradicted.",cannot_be_determined,,,,,,,,,D_no_document
2f18026759f3bcdcfda5bab8185a2e1a,10.1080/00222216.1978.11969353,10.1080/00222216.1977.11970317,cannot_be_determined,llm_references,,,True,gpt-5.4-mini,2,cache/llm/targetoutcome_59b5705833feeb119fb4e8a7206d6f42_6c1e7db456a2a4c3124d45ec76276c2d.json,abstract_or_refs,,True,doi,descriptive,"The paper explicitly frames itself as a replication and extension, but the supplied text reports only the new study's results and never compares them to Tinsley et al.'s finding.",descriptive,,,,,,,,,D_no_document
d4a928976c25a68a5b6d08febbf4ddf1,,10.1016/0148-2963(75)90027-2,cannot_be_determined,llm_references,openalex_xml,openalex_xml,True,gpt-5.4-mini,6,cache/llm/targetoutcome_02a46defdb1c71b1fe90ef60e5975e9a_e23cb065ea332dd8ccdc583c0449ea6d.json,abstract_or_refs,,True,doi,cannot_be_determined,"The supplied text names the paper as a replication study and identifies Knotts (1975) as the matching prior study, but it does not report whether the replication supported or contradicted that finding.",cannot_be_determined,cache/llm/targetoutcome_02a46defdb1c71b1fe90ef60e5975e9a_a68d7f9d68838e783e1d090be4d5a6b7.json,fulltext,the discussion / conclusion section of t,False,only,successful,The authors say their 1982 sample showed the same male-like versus female-like pattern as the original study and that these needs increased over time.,successful,A_fulltext_settled_but_carried_cbd_shipped
77c38c2f18d0fd565a4179d7fad6a859,,10.1016/0005-7967(75)90037-6,cannot_be_determined,llm_references,,,True,gpt-5.4-mini,2,cache/llm/targetoutcome_e1ad7d4bcaa43b997b4c0524486d32d3_16abb30b5f64451c9708e956d9493712.json,abstract_or_refs,,True,doi,cannot_be_determined,"The supplied text identifies the paper as a replication and extension of practice dating, but it gives no result sentence showing whether the original finding was confirmed or rejected.",cannot_be_determined,,,,,,,,,D_no_document
da865f41419965e5795584d3f4d7efd6,,10.1111/j.1547-5069.2004.04016.x,cannot_be_determined,llm_author_year_search,,,True,gpt-5.4-mini,2,cache/llm/targetoutcome_0a5e176c806901b6e0a05a670a49ffec_ac6e7980b13326083ecd163826819975.json,abstract_or_refs,,False,named,cannot_be_determined,"The abstract only identifies AbuAlRub (2004) as the study whose findings are being re-tested, but it gives no results of the replication itself.",cannot_be_determined,,,,,,,,,D_no_document
7a15b7a777589e9355bd9e5b7c74d1f1,10.3233/jad-130380,10.1002/pmic.200300495,cannot_be_determined,llm_title_search,openalex_xml,openalex_xml,True,gpt-5.6-luna,6,cache/llm/targetoutcome_de2342f91815840f019856233a447146_2542c683d55581fcba773dfc6fceccbc.json,abstract_or_refs,,False,,,,,cache/llm/targetoutcome_de2342f91815840f019856233a447146_a59374908619d11c80625e1621039502.json,fulltext,the discussion / conclusion section of t,False,named,cannot_be_determined,The paper reports aggregate replication of nine candidate biomarkers but does not attribute the replicated or non-replicated candidates to this particular original study.,cannot_be_determined|cannot_be_determined|cannot_be_determined|cannot_be_determined|cannot_be_determined|cannot_be_determined|cannot_be_determined|cannot_be_determined|cannot_be_determined|cannot_be_determined|cannot_be_determined|cannot_be_determined|cannot_be_determined|cannot_be_determined|cannot_be_determined|cannot_be_determined|cannot_be_determined|cannot_be_determined|cannot_be_determined|cannot_be_determined|cannot_be_determined,B_fulltext_read_still_cbd
135780878b6011e0a027fdb028b417d6,10.3233/jad-130380,10.1001/archneurol.2012.1070,cannot_be_determined,llm_title_search,openalex_xml,openalex_xml,True,gpt-5.6-luna,6,cache/llm/targetoutcome_de2342f91815840f019856233a447146_2542c683d55581fcba773dfc6fceccbc.json,abstract_or_refs,,False,,,,,cache/llm/targetoutcome_de2342f91815840f019856233a447146_a59374908619d11c80625e1621039502.json,fulltext,the discussion / conclusion section of t,False,named,cannot_be_determined,The paper reports aggregate replication of nine candidate biomarkers but does not attribute the replicated or non-replicated candidates to this particular original study.,cannot_be_determined|cannot_be_determined|cannot_be_determined|cannot_be_determined|cannot_be_determined|cannot_be_determined|cannot_be_determined|cannot_be_determined|cannot_be_determined|cannot_be_determined|cannot_be_determined|cannot_be_determined|cannot_be_determined|cannot_be_determined|cannot_be_determined|cannot_be_determined|cannot_be_determined|cannot_be_determined|cannot_be_determined|cannot_be_determined|cannot_be_determined,B_fulltext_read_still_cbd
2cb9f23335d9ab3a287889330d2b42df,,10.1016/j.hrtlng.2008.12.006,cannot_be_determined,llm_title_search,openalex_xml,openalex_xml,True,gpt-5.4-mini,4,cache/llm/targetoutcome_83e2f8a3e34a2ee21fc823bb591bb085_4eefcacb213ad2bd111d12cb15ca3179.json,abstract_or_refs,,True,doi,cannot_be_determined,"The supplied text identifies the paper as a replication of Whyte et al. (2009), but it does not report the replication results.",cannot_be_determined,cache/llm/targetoutcome_83e2f8a3e34a2ee21fc823bb591bb085_7707c7ec2e03dbb21a8ad3cb24257b09.json,fulltext,"the closing pages of the paper, before t",True,named,cannot_be_determined,"The paper identifies Whyte et al. (2009) as the replicated study, but the supplied text does not state what Whyte et al. found, so this evidence is insufficient to judge agreement or disagreement.",cannot_be_determined,B_fulltext_read_still_cbd
17dc3cf5f5ec06e0846106d2b8cde936,10.5555/359640.359729,10.1016/s0963-8687(00)00042-1,cannot_be_determined,llm_references,,,True,gpt-5.4-mini,3,cache/llm/targetoutcome_119ef851e5214a813d119a92abce55c4_6339bcf3513cbbfafd375055f8d19ec1.json,abstract_or_refs,,True,doi,cannot_be_determined,"The paper clearly identifies Järvenpää and Staples (2000) as the study being replicated, but the supplied abstract does not state whether the replication confirmed or contradicted that study's finding.",cannot_be_determined,,,,,,,,,D_no_document
