pair_id,doi_r,title_r,abstract_r,year_r,authors_r,journal_r,url_r,openalex_id_r,source,ref_r,filter_status,filter_method,filter_evidence,filter_confidence,original_match_type,original_match_confidence,classify_llm_model,oa_work_id_r,oa_work_id_o,study_r,doi_o,title_o,study_o,year_o,authors_o,ref_o,bibtex_ref_o,bibtex_ref_r,link_method,link_evidence,link_confidence,link_llm_model,screen_categories,doi_o_verification,pdf_source,parse_method,outcome,outcome_phrase,outcome_confidence,out_quote_source,outcome_reasoning,outcome_computation,outcome_computational_quote,out_quote_computational_source,outcome_robustness,outcome_robustness_quote,out_quote_robust_source,outcome_llm_model,type,original_rank,n_originals
53629c1b5fa3b7ca281f77988b5d2ca0,,Brady et al.'s (2005) service evaluation models: A replication and extension in China,"The research described in this study replicates and extends the Brady et al., [Brady, M. K., Knight, G. A., Cronin Jr. J. Toma, G., Hult, M. and Keillor, B. D. (2005), emoving the Contextual Lens: A Multinational, Mult-setting Comparison of Service Evaluation Models, Journal of Retailing, 81(3), pp. 215-230] study suggestion that future research in service evaluations should focus on emerging service economies such as China. The intent of the research was to examine the suitability of the models suggested by Brady and colleagues in the Chinese market. The replication somewhat successfully duplicated their finding as to the superiority of the comprehensive service evaluation model. Additionally, we also sought to examine as to whether the service evaluation model is gender invariant. Our findings indicate that there are significant differences between gender. These findings are discussed relative to the limitations associated with the study.",2007,Chanaka Jayawardhena; Andrew M. Farrell; Xiaoxia Lin,Aston Publications Explorer (Aston University),https://publications.aston.ac.uk/id/eprint/18353/1/JFJ_AM_2007.pdf,https://openalex.org/W1501856095,openalex_snapshot,Jayawardhena · 2007 · Aston Publications Explorer (Aston University),replication,screen,rule:replication-claim-cited-title; replication and extension,high,single_original,low,,W1501856095,W2125852772,,10.1016/j.jretai.2005.07.005,"Removing the contextual lens: A multinational, multi-setting comparison of service evaluation models",,2005,"Brady, M. K.; Knight, G.; CRONINJR, J.; Tomas, G.; Hult, G. T. M.; Keillor, B. D.","Brady, M. K., Knight, G., CRONINJR, J., Tomas, G., Hult, G. T. M., & Keillor, B. D. (2005). Removing the contextual lens: A multinational, multi-setting comparison of service evaluation models. Journal of Retailing, 81(3), 215–230. https://doi.org/10.1016/j.jretai.2005.07.005","@article{Brady_2005, title={Removing the contextual lens: A multinational, multi-setting comparison of service evaluation models}, author={Brady, M. K. and Knight, G. and CRONINJR, J. and Tomas, G. and Hult, G. T. M. and Keillor, B. D.}, journal={Journal of Retailing}, volume={81}, number={3}, pages={215--230}, year={2005}, doi={10.1016/j.jretai.2005.07.005}, url={https://doi.org/10.1016/j.jretai.2005.07.005}}","@article{ChanakaJayawardhena_2007, title={Brady et al.'s (2005) service evaluation models: A replication and extension in China}, author={Chanaka Jayawardhena and Andrew M. Farrell and Xiaoxia Lin}, journal={Aston Publications Explorer (Aston University)}, year={2007}, url={https://publications.aston.ac.uk/id/eprint/18353/1/JFJ_AM_2007.pdf}}",llm_title_search,,low,,clearly_declared|context_transfer,verified,,,cannot_be_determined,,low,,provisional link from a title search — outcome not coded until the target is confirmed,,,,,,,,replication,1,1
34ca66e27fc50c23ef6c63d11d9da8f0,10.1111/1467-9523.00071,Rurality in England and Wales 1991: A Replication and Extension of the 1981 Rurality Index,"This paper sets out to create rurality indexes for 222 non‐urban Local Authority Districts (LADs) in England and Wales 1991, replicating the earlier work of Cloke (1977) and Cloke and Edwards (1986) for 1971 and 1981 respectively. The same technique is employed to generate the rurality indices for 1991 as that used by those previous researchers. The results for 1991 are then compared to those for 1981, illustrating the robustness of the rurality index. Despite the robustness of the rurality index, it was felt that too much of the variation in rurality was left unexplained by the previous construction. Therefore, principal components analysis is used to identify two new dimensions of rurality: Structural Rurality and Demographic Rurality. The remainder of the paper investigates the ways in which these new, or additional, indices of rurality may prove useful to the further study of change in rural areas of England and Wales.",1998,Vicki Harrington; Dan O’Donoghue,Sociologia Ruralis,https://doi.org/10.1111/1467-9523.00071,https://openalex.org/W2072128297,openalex_snapshot,Harrington · 1998 · Sociologia Ruralis,replication,screen,rule:replication-claim-cited-title; Replication and Extension,high,single_original,low,,W2072128297,W2143185344,,10.1080/09595238600185271,Rurality in England and Wales 1981: A replication of the 1971 index,,1986,"Cloke, P.; Edwards, G.","Cloke, P., & Edwards, G. (1986). Rurality in England and Wales 1981: A replication of the 1971 index. Regional Studies, 20(4), 289–306. https://doi.org/10.1080/09595238600185271","@article{Cloke_1986, title={Rurality in England and Wales 1981: A replication of the 1971 index}, author={Cloke, P. and Edwards, G.}, journal={Regional Studies}, volume={20}, number={4}, pages={289--306}, year={1986}, doi={10.1080/09595238600185271}, url={https://doi.org/10.1080/09595238600185271}}","@article{VickiHarrington_1998, title={Rurality in England and Wales 1991: A Replication and Extension of the 1981 Rurality Index}, author={Vicki Harrington and Dan O’Donoghue}, journal={Sociologia Ruralis}, year={1998}, doi={10.1111/1467-9523.00071}, url={https://doi.org/10.1111/1467-9523.00071}}",llm_title_search,"This paper sets out to create rurality indexes for 222 non‐urban Local Authority Districts (LADs) in England and Wales 1991, replicating the earlier work of Cloke (1977) and Cloke and Edwards (1986) for 1971 and 1981 respectively. The same technique is employed to generate the rurality indices for 1991 as that used by those previous researchers. | target named but unmatched to any record; picked by gpt-5.4-mini from 1 candidate(s) (crossref): The candidate is the 1986 Cloke and Edwards paper explicitly described as the 1981 Rurality Index, which the replication says it re-tested.. All considered: crossref: 10.1080/09595238600185271",low,gpt-5.4-mini,clearly_declared|measurement_validation|context_transfer,verified,,,cannot_be_determined,,low,,provisional link from a title search — outcome not coded until the target is confirmed,,,,,,,,replication,1,1
647afff6e2a0c87eb25fdd81ac74ff6c,10.1002/1098-108x(198811)7:6<813::aid-eat2260070612>3.0.co;2-4,Multiple aspects and correlates of body figure ratings: A replication and extension of Fallon and Rozin (1985),"College females, using a set of nine figure drawings reflecting very thin to very heavy figures, rated their current figure (based on how they thought they looked versus how they felt), ideal figure, how they appeared to others, and the figure they deemed most attractive to men. A subsample of the 123 subjects also completed measures of body satisfaction, depression, eating disturbance, teasing, and noted the age of menarche. The results replicated and extended the findings of Fallon and Rozin (1985), who found that ideal figures were smaller than ratings of current size. Additionally, there was a significant difference between the two protocols for current size, indicating that subjects rated their size as larger when asked to rate based on affective instructions. Figure ratings based on cognitive/rational instructions did not differ from those based on how they conceptualized others' views of their bodies. Significant correlations were observed among figure ratings, body satisfaction, eating disturbance, depression, and teasing. The need to focus on etiological mechanisms of disturbed body image and eating behavior is addressed, and the role of teasing as a possible precipitant is examined.",1988,J. Kevin Thompson; Kay Psaltis,International Journal of Eating Disorders,https://doi.org/10.1002/1098-108x(198811)7:6<813::aid-eat2260070612>3.0.co;2-4,https://openalex.org/W2078324118,openalex_snapshot,Thompson · 1988 · International Journal of Eating Disorders,replication,screen,rule:replication-claim-cited-title; replication and extension,high,single_original,low,,W2078324118,W4213136488,,10.1037/0021-843x.94.1.102,Sex differences in perceptions of desirable body shape.,,1985,"Fallon, A.; Rozin, P.","Fallon, A., & Rozin, P. (1985). Sex differences in perceptions of desirable body shape.. Journal of Abnormal Psychology, 94(1), 102–105. https://doi.org/10.1037/0021-843x.94.1.102","@article{Fallon_1985, title={Sex differences in perceptions of desirable body shape.}, author={Fallon, A. and Rozin, P.}, journal={Journal of Abnormal Psychology}, volume={94}, number={1}, pages={102--105}, year={1985}, doi={10.1037/0021-843x.94.1.102}, url={https://doi.org/10.1037/0021-843x.94.1.102}}","@article{JKevinThompson_1988, title={Multiple aspects and correlates of body figure ratings: A replication and extension of Fallon and Rozin (1985)}, author={J. Kevin Thompson and Kay Psaltis}, journal={International Journal of Eating Disorders}, year={1988}, doi={10.1002/1098-108x(198811)7:6<813::aid-eat2260070612>3.0.co;2-4}, url={https://doi.org/10.1002/1098-108x(198811)7:6<813::aid-eat2260070612>3.0.co;2-4}}",llm_title_search,"A replication and extension of Fallon and Rozin (1985) | target named but unmatched to any record; picked by gpt-5.4-mini from 2 candidate(s) (crossref, openalex): The replication explicitly targets Fallon and Rozin (1985) on sex differences in perceptions of desirable body shape, and candidate 1 is that exact 1985 Journal of Abnormal Psychology paper.. All considered: crossref: 10.1037/0021-843x.94.1.102; openalex: 10.1037//0021-843x.94.1.102",low,gpt-5.4-mini,clearly_declared|context_transfer,verified,html_landing,openalex_xml,cannot_be_determined,,low,,provisional link from a title search — outcome not coded until the target is confirmed,,,,,,,,replication,1,1
e93e2dbf7830cc84263f10e3f83c7048,,"REPLICATION STUDY: Toya and Skidmore (Economics Letters, 2007)","This study replicates the empirical findings of Toya and Skidmore (2007), hereinafter ""TS"", and performs a variety of robustness checks.We are able to exactly replicate the findings reported by TS.Our robustness checks consist of two parts.Firstly, we update TS's original data set, both with respect to variable values and years.We then address a number of estimation issues: (i) truncation bias, (ii) the effect of severe skewness in the disaster data, (iii) fixed effects, and (iv) the omission of a time trend.Our robustness checks produce two major results: We confirm TS's finding that income is negatively related to both fatalities and economic losses from disasters.In fact, we estimate coefficients that are substantially larger than TS.On the other hand, we find no evidence to indicate that the other economic development variables (educational attainment, size of government, economic openness, financial sector development) are statistically related to either fatalities or economic damages.",2013,Winnie Reed; Richard A. J. Mercer,University of Canterbury Research Repository (University of Canterbury),http://hdl.handle.net/10092/11243,https://openalex.org/W2236112580,openalex_snapshot,Reed · 2013 · University of Canterbury Research Repository (University of Canterbury),replication,screen,rule:replication-claim-cited-title; REPLICATION STUDY,high,single_original,low,,W2236112580,W2071734655,,10.1016/j.econlet.2006.06.020,Economic development and the impacts of natural disasters,,2007,"Toya, H.; Skidmore, M.","Toya, H., & Skidmore, M. (2006). Economic development and the impacts of natural disasters. Economics Letters, 94(1), 20–25. https://doi.org/10.1016/j.econlet.2006.06.020","@article{Toya_2006, title={Economic development and the impacts of natural disasters}, author={Toya, H. and Skidmore, M.}, journal={Economics Letters}, volume={94}, number={1}, pages={20--25}, year={2006}, doi={10.1016/j.econlet.2006.06.020}, url={https://doi.org/10.1016/j.econlet.2006.06.020}}","@article{WinnieReed_2013, title={REPLICATION STUDY: Toya and Skidmore (Economics Letters, 2007)}, author={Winnie Reed and Richard A. J. Mercer}, journal={University of Canterbury Research Repository (University of Canterbury)}, year={2013}, url={http://hdl.handle.net/10092/11243}}",llm_title_search,"This study replicates the empirical findings of Toya and Skidmore (2007), hereinafter ""TS"", and performs a variety of robustness checks.",low,gpt-5.4-mini,clearly_declared,verified,openalex_xml,openalex_xml,cannot_be_determined,,low,,provisional link from a title search — outcome not coded until the target is confirmed,,,,,,,,replication,1,1
e29d1cced5006583477386a3c4ac9a29,10.11575/prism/9528,"Gambling and problem gambling among adolescents in Washington State : a replication study, 1993 to 1999, report to the Washington State Lottery","This report presents the results of a replication survey of adolescent gambling and problem gambling in Washington State. The main purpose of this study was to examine changes in gambling participation and the prevalence of gambling-related problems among adolescents in Washington State between 1993 and 1999. Another purpose of this study was to identify the types of gambling causing the greatest difficulties for the youth of Washington State. A sample of Washington State residents aged 13 to 17 (N=1,000) were interviewed in January and February, 1999, about the types of gambling they have tried, the amounts of money they spend on gambling and about gambling-related difficulties. The results of this study are intended to assist in refining the services available to youth with gambling problems as well as their families in Washington State.",1999,Rachel A. Volberg; William L. Moore,Open MIND,https://ucalgary.scholaris.ca/bitstreams/e2571136-4336-41e4-9320-ef8f8bac5a88/download,https://openalex.org/W2266446612,openalex_snapshot,Volberg · 1999 · Open MIND,replication,screen,rule:replication-claim-cited-title; replication study,high,single_original,low,,W2266446612,W2263062311,,10.11575/prism/9529,a. Gambling and Problem Gambling Among Adolescents in Washington State,,1993,"Volberg, R. A.; Lottery, W. S.","Volberg, R. A., & Lottery, W. S. (1993). Gambling and problem gambling among adolescents in Washington State : report to the Washington State Lottery. Libraries and Cultural Resources (University of Calgary). https://doi.org/10.11575/prism/9529","@article{Volberg_1993, title={Gambling and problem gambling among adolescents in Washington State : report to the Washington State Lottery}, author={Volberg, R. A. and Lottery, W. S.}, journal={Libraries and Cultural Resources (University of Calgary)}, year={1993}, doi={10.11575/prism/9529}, url={https://doi.org/10.11575/prism/9529}}","@article{RachelAVolberg_1999, title={Gambling and problem gambling among adolescents in Washington State : a replication study, 1993 to 1999, report to the Washington State Lottery}, author={Rachel A. Volberg and William L. Moore}, journal={Open MIND}, year={1999}, doi={10.11575/prism/9528}, url={https://doi.org/10.11575/prism/9528}}",llm_title_search,"In 1993, the Washington State Lottery funded one of the first surveys of gambling and problem gambling among adolescents in the general population. Six years later, the Washington State Lottery funded replication studies of both adults and adolescents in the general population. Like the adult survey (Volberg & Moore 1999b), the main purpose of the adolescent replication survey is to examine changes in gambling participation and the prevalence of gambling-related problems among adolescents in Washington State between 1993 and 1999.",low,gpt-5.4-mini,clearly_declared|context_transfer,verified,openalex_xml,openalex_xml,cannot_be_determined,,low,,provisional link from a title search — outcome not coded until the target is confirmed,,,,,,,,replication,1,1
5f14859645c7df904b256a3dba13f1b5,,A Replication and Extension of Hughes and Barnes-Holmes's (2011) Study of Induced Implicit Attitudes,"In order to replicate Hughes and Barnes-Holmes’s (2011) study, 12 undergraduate students were presented with two novel stimuli (the words “Cug” and “Vek”) in one of three attitude-induction conditions. In the first condition, a training IRAP provided feedback that shaped the participants’ brief-and-immediate relational responding over multiple discrete trials. In the second condition, a written narrative presented the two potential attitude objects (the words “Cug” and “Vek”) as equivalent to a series of either positive or negative trait adjectives. In the third condition, participants were given both the training IRAP and the written narrative. Having completed the training phase, the participants then took a testing IRAP in which the words “Cug” and “Vek” were presented as being either “Similar” or “Opposite” to a range of verbal stimuli with either positive or negative connotations. As the results of Experiment 1 indicate, all three of the experimental manipulations generated differential relational responding, yet there was no repeat of the weakening in the ‘IRAP effects’ that was observed by Hughes and Barnes-Holmes. To find out if the engineered response biases persisted over a longer timescale than the 20 min it took to run the first testing IRAP, a second experiment was conducted in which the remaining participants (n = 11) retook the testing IRAP five days later (Experiment 2a). The results of Experiment 2a indicate that the response biases that were engineered in the first session persisted into the second session; furthermore, there was a weakening of the ‘IRAP effects’ across the three pairs of test blocks in all of the attitude-induction conditions. To find out if the engineered response biases could be strengthened by further training, following the second testing IRAP (Experiment 2a), the participants were presented with the same attitude-induction procedure they had been given during Experiment 1; they were then asked to complete a third and final testing IRAP (Experiment 2b). The results of Experiment 2b indicate that response biases can be strengthened through further training. However, the ‘IRAP effects’ recorded in Experiment 2b were broadly weaker than the ‘IRAP effects’ recorded in the other two experiments.",2016,Douglas Miles Harvey,Research Commons (University of Waikato),https://hdl.handle.net/10289/10159,https://openalex.org/W2412032124,openalex_snapshot,Harvey · 2016 · Research Commons (University of Waikato),replication,screen,rule:replication-claim-cited-title; Replication and Extension,high,single_original,low,,W2412032124,W18280206,"1, 2a, 2b",10.1007/bf03395768,On the formation and persistence of implicit attitudes: New evidence from the Implicit Relational Assessment Procedure (IRAP),,2011,"Hughes, S.; Barnes‐Holmes, D.","Hughes, S., & Barnes‐Holmes, D. (2011). On the Formation and Persistence of Implicit Attitudes: New Evidence From the Implicit Relational Assessment Procedure (IRAP). The Psychological Record, 61(3), 391–410. https://doi.org/10.1007/bf03395768","@article{Hughes_2011, title={On the Formation and Persistence of Implicit Attitudes: New Evidence From the Implicit Relational Assessment Procedure (IRAP)}, author={Hughes, S. and Barnes‐Holmes, D.}, journal={The Psychological Record}, volume={61}, number={3}, pages={391--410}, year={2011}, doi={10.1007/bf03395768}, url={https://doi.org/10.1007/bf03395768}}","@article{DouglasMilesHarvey_2016, title={A Replication and Extension of Hughes and Barnes-Holmes's (2011) Study of Induced Implicit Attitudes}, author={Douglas Miles Harvey}, journal={Research Commons (University of Waikato)}, year={2016}, url={https://hdl.handle.net/10289/10159}}",llm_title_search,In order to replicate Hughes and Barnes-Holmes’s (2011) study,low,gpt-5.4-mini,clearly_declared,verified,openalex_xml,openalex_xml,cannot_be_determined,,low,,provisional link from a title search — outcome not coded until the target is confirmed,,,,,,,,replication,1,1
84df58101c6ec56c4281254b50d79826,,Endorsed Pre-Registered Replication: Till et al. (2016),"This is an endorsed pre-registered replication. Original study: Till, B., Troung, F., Mar, R. A. and Niederkrotenthaler, T. (2016). Blurred world view: A Study on the relationship between television viewing and the perception of the justice system. Death Studies, 40(9), 538-546. doi:10.1080/07481187.2016.1186761",2017,Magdalena Boch; Martin Voracek,OSF Preprints (OSF Preprints),http://api.osf.io/v2/registrations/fehvb/,https://openalex.org/W2781529317,openalex_snapshot,Boch · 2017 · OSF Preprints (OSF Preprints),replication,screen,rule:replication-claim-cited-title; Pre-Registered Replication,high,single_original,low,,W2781529317,W2416588021,1,10.1080/07481187.2016.1186761,Blurred world view: A study on the relationship between television viewing and the perception of the justice system,,2016,"Till, B.; Truong, F.; Mar, R. A.; Niederkrotenthaler, T.","Till, B., Truong, F., Mar, R. A., & Niederkrotenthaler, T. (2016). Blurred world view: A study on the relationship between television viewing and the perception of the justice system. Death Studies, 40(9), 538–546. https://doi.org/10.1080/07481187.2016.1186761","@article{Till_2016, title={Blurred world view: A study on the relationship between television viewing and the perception of the justice system}, author={Till, B. and Truong, F. and Mar, R. A. and Niederkrotenthaler, T.}, journal={Death Studies}, volume={40}, number={9}, pages={538--546}, year={2016}, doi={10.1080/07481187.2016.1186761}, url={https://doi.org/10.1080/07481187.2016.1186761}}","@article{MagdalenaBoch_2017, title={Endorsed Pre-Registered Replication: Till et al. (2016)}, author={Magdalena Boch and Martin Voracek}, journal={OSF Preprints (OSF Preprints)}, year={2017}, url={http://api.osf.io/v2/registrations/fehvb/}}",llm_title_search,"The planned study is a replication of Till et al. (2016) and will consist of 3 consecutive parts. | target named but unmatched to any record; picked by gpt-5.4-mini from 1 candidate(s) (crossref): The candidate exactly matches the replication’s named original study on television viewing and perceptions of the justice system, including the same title and Till et al. authorship.. All considered: crossref: 10.1080/07481187.2016.1186761",low,gpt-5.4-mini,clearly_declared,verified,osf_registration,openalex_xml,cannot_be_determined,,low,,provisional link from a title search — outcome not coded until the target is confirmed,,,,,,,,replication,1,1
c07cc3be600907514449a49899ec42c7,,"Incidental Haptic Sensations May Not Influence Social Judgments : A Purely Confirmatory Replication Attempt of Study 1 by Ackerman, Nocera, and Bargh (2010)","This preregistered replication attempt focuses on the finding from Ackerman, Nocera, and Bargh (2010; ANB) that holding a heavy object triggers concepts related to importance. ANB reported that participants who were holding a heavy clipboard rated a job candidate as better overall and more seriously interested in the job than participants holding a light clipboard. We failed to replicate ANB's results; instead, Bayes factor hypothesis tests indicated evidence for the absence of a difference between the heavy and the light condition in the overall evaluation and perceived seriousness of the candidate, and in participants' perceived task importance. Our findings highlight the importance of conducting preregistered replication research and illustrate the theoretical and practical advantages of Bayesian inference in psychological research.",2017,Titia F. Beek; Dóra Matzke; Y. Pinto; Mark Rotteveel; Alexander Gierholz; Jan Verhagen; Ravi Selker; Adam Sasiadek; Helen Steingroever; Nils B. Jostmann; Eric‐Jan Wagenmakers,UvA-DARE (University of Amsterdam),https://pure.uva.nl/ws/files/53005147/ContentServer.pdf,https://openalex.org/W2787367930,openalex_snapshot,Beek · 2017 · UvA-DARE (University of Amsterdam),replication,screen,rule:replication-claim-cited-title; Replication Attempt,high,single_original,low,,W2787367930,W2069581519,,10.1126/science.1189993,Incidental haptic sensations influence social judgments and decisions,1,2010,"Ackerman, J. M.; Nocera, C. C.; Bargh, J. A.","Ackerman, J. M., Nocera, C. C., & Bargh, J. A. (2010). Incidental Haptic Sensations Influence Social Judgments and Decisions. Science, 328(5986), 1712–1715. https://doi.org/10.1126/science.1189993","@article{Ackerman_2010, title={Incidental Haptic Sensations Influence Social Judgments and Decisions}, author={Ackerman, J. M. and Nocera, C. C. and Bargh, J. A.}, journal={Science}, volume={328}, number={5986}, pages={1712--1715}, year={2010}, doi={10.1126/science.1189993}, url={https://doi.org/10.1126/science.1189993}}","@article{TitiaFBeek_2017, title={Incidental Haptic Sensations May Not Influence Social Judgments : A Purely Confirmatory Replication Attempt of Study 1 by Ackerman, Nocera, and Bargh (2010)}, author={Titia F. Beek and Dóra Matzke and Y. Pinto and Mark Rotteveel and Alexander Gierholz and Jan Verhagen and Ravi Selker and Adam Sasiadek and Helen Steingroever and Nils B. Jostmann and Eric‐Jan Wagenmakers}, journal={UvA-DARE (University of Amsterdam)}, year={2017}, url={https://pure.uva.nl/ws/files/53005147/ContentServer.pdf}}",llm_title_search,"A Purely Confirmatory Replication Attempt of Study 1 by Ackerman, Nocera, and Bargh (2010)",low,gpt-5.4-mini,clearly_declared,verified,openalex_xml,openalex_xml,cannot_be_determined,,low,,provisional link from a title search — outcome not coded until the target is confirmed,,,,,,,,replication,1,1
3946c4de0d48b36cff0d9fe9dee26059,10.18718/81781.5,"Inflation and Broadband Revisited: Evidence from an OECD Panel. A replication study of Yi and Choi (Journal of Policy Modeling, 2005)","This note revisits the conjecture that the use of broadband internet lowers transaction costs and thereby inflation. Using a macro-economic panel of OECD countries, it replicates and expands previous estimations by Yi and Choi (2005). We confirm the direction of the results, but also highlight a series of conceptual and econometric issues in the original contribution that need to be addressed.",2018,Klaus S. Friesenbichler,Econstor (Econstor),http://hdl.handle.net/10419/180654,https://openalex.org/W2909442367,openalex_snapshot,Friesenbichler · 2018 · Econstor (Econstor),replication,screen,rule:replication-claim-cited-title; replication study,high,single_original,low,,W2909442367,W2131384267,,10.1016/j.jpolmod.2005.06.008,The Effect of the Internet on Inflation: Panel Data Evidence,,2005,"Yi, M. H.; Choi, C.","Yi, M. H., & Choi, C. (2005). The effect of the Internet on inflation: Panel data evidence. Journal of Policy Modeling, 27(7), 885–889. https://doi.org/10.1016/j.jpolmod.2005.06.008","@article{Yi_2005, title={The effect of the Internet on inflation: Panel data evidence}, author={Yi, M. H. and Choi, C.}, journal={Journal of Policy Modeling}, volume={27}, number={7}, pages={885--889}, year={2005}, doi={10.1016/j.jpolmod.2005.06.008}, url={https://doi.org/10.1016/j.jpolmod.2005.06.008}}","@article{KlausSFriesenbichler_2018, title={Inflation and Broadband Revisited: Evidence from an OECD Panel. A replication study of Yi and Choi (Journal of Policy Modeling, 2005)}, author={Klaus S. Friesenbichler}, journal={Econstor (Econstor)}, year={2018}, doi={10.18718/81781.5}, url={https://doi.org/10.18718/81781.5}}",llm_title_search,it replicates and expands previous estimations by Yi and Choi (2005).,low,gpt-5.4-mini,clearly_declared,verified,openalex_xml,openalex_xml,cannot_be_determined,,low,,provisional link from a title search — outcome not coded until the target is confirmed,,,,,,,,replication,1,1
d42f2eec5e6fa392be1d3548437eddea,10.18718/81781.8,"Malaria Eradication in the Americas. A replication study of Bleakley (American Economic Journal. Applied Economics, 2010)","Bleakley (2010) finds that large-scale campaigns in the 20th century to eradicate malaria were followed by income gains for those native to historically endemic areas. I perform a pre-registered reanalysis and find these results to be largely robust. Malaria eradication efforts indeed appear to have been followed by anomalous income gains for natives of historically malarial areas of Brazil, Colombia, Mexico, and perhaps the United States. This supportive finding diverges from that of a separate, parallel reanalysis of Bleakley (2007), a study that finds long-term benefits from a hookworm eradication campaign in the United States.",2018,David Roodman,Econstor (Econstor),http://hdl.handle.net/10419/192939,https://openalex.org/W2944142152,openalex_snapshot,Roodman · 2018 · Econstor (Econstor),reproduction,screen,rule:replication-claim-cited-title; replication study,high,single_original,low,,W2944142152,W1985991037,,10.1257/app.2.2.1,Malaria Eradication in the Americas: A Retrospective Analysis of Childhood Exposure,,2010,"Bleakley, H.","Bleakley, H. (2010). Malaria Eradication in the Americas: A Retrospective Analysis of Childhood Exposure. American Economic Journal Applied Economics, 2(2), 1–45. https://doi.org/10.1257/app.2.2.1","@article{Bleakley_2010, title={Malaria Eradication in the Americas: A Retrospective Analysis of Childhood Exposure}, author={Bleakley, H.}, journal={American Economic Journal Applied Economics}, volume={2}, number={2}, pages={1--45}, year={2010}, doi={10.1257/app.2.2.1}, url={https://doi.org/10.1257/app.2.2.1}}","@article{DavidRoodman_2018, title={Malaria Eradication in the Americas. A replication study of Bleakley (American Economic Journal. Applied Economics, 2010)}, author={David Roodman}, journal={Econstor (Econstor)}, year={2018}, doi={10.18718/81781.8}, url={https://doi.org/10.18718/81781.8}}",llm_title_search,"I perform a pre-registered reanalysis and find these results to be largely robust. | target named but unmatched to any record; picked by gpt-5.4-mini from 1 candidate(s) (crossref): The candidate is Bleakley’s 2010 AEJ Applied Economics paper on malaria eradication in the Americas, which directly matches the replication’s stated target and subject matter.. All considered: crossref: 10.1257/app.2.2.1",low,gpt-5.4-mini,clearly_declared,verified,openalex_xml,openalex_xml,cannot_be_determined,,low,,provisional link from a title search — outcome not coded until the target is confirmed,,,,,,,,reproduction,1,1
