doi_r,title_r,doi_o,title_o,set,label,mo_titles,mo_dois,old_key,old_model,rewrite,rewritable,renamed_keys,mo_key,error,new_keys,new_reasoning,result
10.1111/jabr.12029,<i>In Situ</i> Methodology for Studying State Driver Stress: A Between‐Subjects Design Replication,10.1111/j.1751-9861.2000.tb00072.x,"The Influence of Traffic Congestion, Daily Hassles, and Trait Stress Susceptibility on State Driver Stress: An Interactive Perspective1",judged,both,"['The relationship between traffic congestion, driver stress and direct versus indirect coping behaviours']",['10.1080/001401397188198'],@hennessy2000,gpt-5.6-luna,exact,True,4,@hennessy1997,,[],"The abstract explicitly describes a re-test of prior in situ driver-stress findings, but supplies no author-year citation that distinguishes the target record from other listed studies.",declines
10.1002/alr.21275,Genetic variations in taste receptors are associated with chronic rhinosinusitis: a replication study,10.1002/alr.21140,Genetics of the taste receptor T2R38 correlates with chronic rhinosinusitis necessitating surgical intervention,judged,ours,['T2R38 taste receptor polymorphisms underlie susceptibility to upper respiratory infection'],['10.1172/jci64240'],@adappa2013,gpt-5.6-luna,exact,True,0,@lee2012,,['@adappa2013'],"The abstract explicitly says the study replicates prior work on the TAS2R38–CRS association, which matches Adappa et al. (2013); Lee et al. (2012) is cited for upper-respiratory-infection background rather than as the CRS finding being re-tested.",same as old
10.1109/compsac.2013.82,A Replicated Study on Random Test Case Generation and Manual Unit Testing: How Many Bugs Do Professional Developers Find?,10.1109/issre.2008.18,Finding Faults: Manual Testing vs. Random+ Testing vs. User Reports,judged,mo,['Random test case generation and manual unit testing: substitute or complement in retrofitting tests for legacy code?'],['10.1109/seaa.2012.42'],@ciupa2008,gpt-5.6-luna,exact,True,1,,,['@winkler2012'],"The abstract identifies one replicated comparison, and the student-based tool-supported versus manual unit-testing study matches Winkler et al. (2012); other cited works are not stated to be re-tested.",switches to another
10.1046/j.1365-2133.1996.d01-1096.x,Angry back syndrome': a non-reproducible phenomenon,10.1111/j.1600-0536.1975.tb05380.x,The angry back syndrome: eczema creates eczema,judged,ours,"[""Allergic reactions, 'spill-over' reactions, and T-cell subsets""]",['10.1007/bf00412879'],@mitchell1975,gpt-5.6-luna,exact,True,1,,,['@mitchell1975'],The paper identifies Mitchell (1975) as the source of the angry-back claim and directly tests whether that phenomenon is reproducible; the other listed works are not identified as findings this paper re-tests.,same as old
10.1167/iovs.08-2382,Linkage Analysis in Keratoconus: Replication of Locus 5q21.2 and Identification of Other Suggestive Loci,10.1167/iovs.06-0214,Two-Stage Genome-Wide Linkage Scan in Keratoconus Sib Pair Families,judged,mo,['Genomewide linkage scan in a multigeneration Caucasian pedigree identifies a novel locus for keratoconus on chromosome 5q14.3-q21.1'],['10.1097/01.gim.0000170772.41860.54'],@li2006,gpt-5.6-luna,exact,True,0,,,['@li2006'],"The paper explicitly identifies 5q21.2 as the locus it replicates, which matches the listed keratoconus genome-wide linkage study; other cited works are not identified as targets of this re-test.",same as old
10.1111/j.1540-4781.2006.00384.x,The Pedagogical Knowledge Base of Four TESOL Teachers,10.3138/cmlr.56.4.585,Investigating Experienced ESL Teachers' Pedagogical Knowledge,judged,ours,"[""Investigating ESL teachers' pedagogical knowledge""]",['10.1111/0026-7902.00004'],@gatbonton2000,gpt-5.6-luna,exact,True,0,,,['@gatbonton2000'],The abstract explicitly calls the study a partial replication of Gatbonton (2000); the other cited works are presented as background rather than as findings this paper re-tests.,same as old
10.1002/ajp.20895,Population‐level right‐handedness for a coordinated bimanual task in naturalistic housed chimpanzees: replication and extension in 114 animals from Zambia and Spain,10.1023/a:1023752816951,Population-Level Right Handedness for a Coordinated Bimanual Task in Chimpanzees: Replication and Extension in a Second Colony of Apes,judged,split,"['Manual laterality for simple reaching and bimanual coordinated task in naturalistic housed chimpanzees (Pan troglodytes)', 'Manual laterality for simple reaching and bimanual coordinated task in naturalistic housed chimpanzees (Pan troglodytes)']","['10.1007/s10764-009-9338-1', '10.1007/s10764-009-9338-1']",@hopkins2003,gpt-5.6-luna,exact,True,15,@llorente2009,,"['@llorente2009', '@hopkins2003']",The abstract identifies a replication of Mona Foundation studies and explicitly compares the results with Hopkins’s captive-setting findings; other cited works are not identified as findings this paper re-tests.,keeps old + adds MO's
10.1017/s0272263100010032,The Production of Word-Final Voiced Obstruents in English by L1 Speakers of Japanese and Cantonese,10.1111/j.1467-1770.1981.tb01379.x,ON THE NATURALNESS OF INTERLANGUAGE PHONOLOGICAL RULES1,judged,mo,['On predicting phonological difficulty in second language acquisition'],['10.1017/s0272263100004253'],@eckman1981,gpt-5.6-luna,exact,True,1,@eckman1981_2,,['@eckman1981'],The paper explicitly identifies Eckman (1981a) as the study it partially replicates; the other cited works are not identified as findings re-tested here.,same as old
10.1371/journal.pone.0086462,Fear Inhibition in High Trait Anxiety,10.1037/0735-7044.120.5.995,Contingency awareness and fear inhibition in a human fear-potentiated startle paradigm.,judged,split,['Fear potentiation and fear inhibition in a human fear-potentiated startle paradigm'],['10.1016/j.biopsych.2005.02.025'],@jovanovi2006,gpt-5.6-luna,exact,True,2,@jovanovi2005,,"['@gazendam2012', '@jovanovi2006']",The abstract tests the high-trait-anxiety safety-learning finding associated with Gazendam et al. and explicitly says it replicated the earlier contingency-awareness finding; other cited works are not identified as findings this paper re-tests.,old + other
10.1371/journal.pone.0056732,Replication of Association between Schizophrenia and Chromosome 6p21-6p22.1 Polymorphisms in Chinese Han Population,10.1038/nature08192,Common variants on chromosome 6p22.1 are associated with schizophrenia,judged,mo,['Genome-wide association study identifies a susceptibility locus for schizophrenia in Han Chinese at 11p11.2'],['10.1038/ng.979'],@shi2009,gpt-5.6-luna,exact,True,1,@yue2011,,[],"The paper explicitly says it attempts to replicate its previous GWAS, but the supplied evidence does not identify that study by author, year, or title, while the other cited works are not stated to be the specific GWAS being retested.",declines
