pair_id,group,variant,shipped,outcome,reason,err
6d57ac9f48cd8f17d39832bc310c65bf,mixed_vs_mo_failure,M0,mixed,failed,"The authors explicitly say their replication of the original paper’s central conclusion fails, and report a much smaller growth increase from adopting other developing countries’ policies.",
6d57ac9f48cd8f17d39832bc310c65bf,mixed_vs_mo_failure,M1,mixed,,,response truncated at max_completion_tokens
9c048b3ae6b3a14a487d5e9f521bb0e1,mixed_vs_mo_failure,M0,mixed,mixed,The paper says PBIF preserved the main reversible-downregulation finding but failed to reproduce its regional selectivity and produced erroneous regional results.,
9c048b3ae6b3a14a487d5e9f521bb0e1,mixed_vs_mo_failure,M1,mixed,mixed,"The authors say the main downregulation and reversibility were recovered, but the regional pattern differed from the original finding.",
502e69843b84a01d0d09a2efba9baf8c,mixed_vs_mo_success,M0,mixed,successful,"The abstract explicitly concludes that four markers were reproducibly associated with lung cancer risk, supporting the discovery finding.",
502e69843b84a01d0d09a2efba9baf8c,mixed_vs_mo_success,M1,mixed,mixed,"The replication associated four of the eleven discovery markers with lung cancer risk, indicating partial rather than complete confirmation of the original findings.",
c2614ca570a9a80168013f534227aeaa,mixed_vs_mo_success,M0,mixed,successful,The paper reports the target-like disruption of lip-articulated speech discrimination and describes it as specific to the relevant speech sounds.,
c2614ca570a9a80168013f534227aeaa,mixed_vs_mo_success,M1,mixed,successful,"The paper reports the original speech-discrimination effect again, while its stated failure concerns the motor-excitability measurement rather than the central behavioral finding.",
baff6a3223d05b2bfc331cd1e4900aae,mixed_vs_mo_failure,M0,mixed,mixed,"The authors report that associations for eight of the nine candidate genes were not supported, while the G7–artesunate association remained consistent.",
baff6a3223d05b2bfc331cd1e4900aae,mixed_vs_mo_failure,M1,mixed,failed,The paper concludes that associations for nearly all the candidate genes were unsupported; the G7-artesunate result is an additional finding rather than confirmation of the original chloroquine or quinine associations.,
4d4b238c1b6b9a1dd12357b402997383,mixed_vs_mo_failure,M0,mixed,mixed,"The replication found no difference on the primary efficacy measures but reported advantages for chromium on appetite and craving items and in the high-craving subgroup, so the evidence is partly supportive and partly not.",
