case_id,source_id,doi_r,title,model_classification,model_confidence,model_categories,model_evidence_quote,model_reasoning,stratum
V01,N118,10.1109/agro-geoinformatics.2019.8820589,Preliminary Approach on Adaptability of Oryza2000 Model for Single Cropping Rice in Jiangsu Province (China),none,high,tool_benchmark,"evaluate ORYZA2000 using datasets where the same (similar) varieties were grown under both direct sowing and transplanting conditions, in order to verify the capability and adaptability of model","The study evaluates a simulation model using new field experiments to demonstrate its adaptability and capability, which constitutes tool benchmarking rather than checking a specific finding from earlier published research.",agreed_none_high_bycategory
V02,N043,10.1111/1751-7915.12460,Bespoke design of whole‐cell microbial machines,none,high,builds_on_literature|terminology_only,"Here, I will examine progress in each of these areas.",The paper is a perspective and review article examining progress in microbial chassis cell development rather than aiming to replicate or reproduce a specific prior study.,agreed_none_high_bycategory
V03,N001,10.1017/s0140525x18000687,Putting replication in its place,none,high,about_replication,Direct replication is valuable but should not be elevated over other worthwhile research practices,The paper is a commentary discussing the value and role of replication rather than a study conducting a replication or reproduction.,none_weak_evidence
V04,N032,10.1186/s12889-019-6421-1,Comparison of clinical and cost-effectiveness of two strategies using mobile digital x-ray to detect pulmonary tuberculosis in rural India,none,high,other,We believe there is potential for replication of strategy 2 model in other states,The abstract merely suggests that future replication is needed rather than reporting a replication study.,none_weak_evidence
V05,N144,10.1080/03071375.2021.1903239,On trees and wind turbines,none,high,tool_benchmark,"The goal of the present study was to see if an extremely simple mathematical model, based on stiff wind turbines, would be able to reproduce the results of some of those software packages.","The study tests a new mathematical model to see if it can reproduce outputs of existing software packages in order to demonstrate that the tool works, which falls under tool benchmarking rather than checking a reported finding from prior research.",agreed_none_high_bycategory
V06,N066,10.7287/peerj.preprints.3153/supp-26,nan,none,high,terminology_only,The replication of enteroviruses features low fidelity,"The abstract uses the term 'replication' in a biological sense regarding viral genome copying, and does not check or reproduce any previously published study.",agreed_none_high_bycategory
V07,N020,10.1057/9780230603066_6,The Dynamics of Institutional Adaptation and the Fruitful Emergence of Managerial Syncretism in Japan,none,high,builds_on_literature,The result is more likely to constitute what Cardoso (1977) once referred to as “the originality of a copy” than the wholesale replication of any one institutional model.,The paper uses the term replication in a metaphorical or general theoretical sense rather than aiming to replicate a specific empirical finding from earlier research.,agreed_none_high_bycategory
V08,N117,10.1101/19011049,An international multicenter examination of MOG antibody assays,none,high,terminology_only,To compare the reproducibility of 11 antibody assays for IgG and IgM myelin oligodendrocyte glycoprotein antibodies,The study assesses technical measurement reproducibility and assay performance across laboratories rather than aiming to replicate a specific finding from previously published research.,agreed_none_high_bycategory
V09,N055,10.5281/zenodo.437143,Advocating Physical Activity For The Enhancement Of Cancer Prevention And Treatment,none,high,terminology_only|builds_on_literature,The term ‘Cancer’ encompasses a large group of related disease processes that affect the healthy replication of cells,The paper uses the word replication in a biological sense and reviews literature on physical activity and cancer rather than aiming to replicate a prior empirical study's findings.,agreed_none_high_bycategory
V10,N102,10.7287/peerj.preprints.3153v2/supp-2,nan,none,high,terminology_only,The replication of enteroviruses features low fidelity,"The abstract uses the word replication in a biological sense concerning viral genome replication, which does not qualify as a scientific reproduction or replication study.",agreed_none_high_bycategory
V11,N006,10.5772/39162,Making the Final Cut - The Role of Endosomes During Mitotic Cell Division,none,high,terminology_only|about_replication,After replication of the genetic material,"The abstract uses the term 'replication' in a biological sense regarding genetic material and provides a review of endosomal transport during cell division, neither of which constitutes a study checking a previously published finding.",none_weak_evidence
V12,N124,10.4236/ojped.2020.102036,Assessment of Incidentally Detected Simple Renal Cyst in Pediatric Patient Based on the Modified Bosniak Classification —Incidentally Detected Simple Renal Cyst in Pediatric,unclear,low,measurement_validation|other,the reproducibility of modified Bosniak classification to guide the radiological and clinical follow up,"The abstract mentions evaluating the reproducibility of a modified classification system, but it is incomplete and does not clearly state whether this involves re-analysing published data or performing a formal validation study of an already published instrument.",unclear
V13,N040,10.1088/1361-6498/ab9509,Rapid detection of plutonium contamination with and without uranium contamination in wounds by x-ray fluorescence,none,high,tool_benchmark,x-ray fluorescence measurements showed a high linearity and reproducibility of the Pu Lα peak intensity and plutonium radioactivity,The paper uses the word 'reproducibility' in the technical sense of measurement precision within the study rather than as a replication or reproduction of an earlier published finding.,agreed_none_high_bycategory
