doi_r,title_r,abstract_r,year_r,authors_r,journal_r,url_r,openalex_id_r,source,filter_status,filter_method,filter_evidence,filter_confidence
10.1177/2515245918810225,Many Labs 2: Investigating Variation in Replicability Across Samples and Settings,"We conducted preregistered replications of 28 classic and contemporary published findings, with protocols that were peer reviewed in advance, to examine variation in effect magnitudes across samples and settings. Each protocol was administered to approximately half of 125 samples that comprised 15,305 participants from 36 countries and territories. Using the conventional criterion of statistical significance ( p &lt; .05), we found that 15 (54%) of the replications provided evidence of a statistically significant effect in the same direction as the original finding. With a strict significance criterion ( p &lt; .0001), 14 (50%) of the replications still provided such evidence, a reflection of the extremely high-powered design. Seven (25%) of the replications yielded effect sizes larger than the original ones, and 21 (75%) yielded effect sizes smaller than the original ones. The median comparable Cohen’s ds were 0.60 for the original findings and 0.15 for the replications. The effect sizes were small (&lt; 0.20) in 16 of the replications (57%), and 9 effects (32%) were in the direction opposite the direction of the original effect. Across settings, the Q statistic indicated significant heterogeneity in 11 (39%) of the replication effects, and most of those were among the findings with the largest overall effect sizes; only 1 effect that was near zero in the aggregate showed significant heterogeneity according to this measure. Only 1 effect had a tau value greater than .20, an indication of moderate heterogeneity. Eight others had tau values near or slightly above .10, an indication of slight heterogeneity. Moderation tests indicated that very little heterogeneity was attributable to the order in which the tasks were performed or whether the tasks were administered in lab versus online. Exploratory comparisons revealed little heterogeneity between Western, educated, industrialized, rich, and democratic (WEIRD) cultures and less WEIRD cultures (i.e., cultures with relatively high and low WEIRDness scores, respectively). Cumulatively, variability in the observed effect sizes was attributable more to the effect being studied than to the sample or setting in which it was studied.",2018,"Klein, R.; Vianello, M.; Hasselman, F.; Adams, B.; Adams, R.; Alper, S.; Aveyard, M.; Axt, J.",Advances in Methods and Practices in Psychological Science,https://doi.org/10.1177/2515245918810225,,manual,replication,manual,manually added from DOI list,high
10.1177/27550311231222555,Another look at the managerial entrenchment hypothesis of acquisitions: A replication of Humphery-Jenner (2014),"Anti-takeover provisions have long been associated with managerial entrenchment, self-interested strategic behaviors, and lower performance. Humphery-Jenner (2014) offers an opposing view, arguing that anti-takeover provisions can lead to beneficial managerial entrenchment for acquiring firms in hard-to-value industries. These firms are particularly vulnerable to opportunistic takeovers and once shielded from those threats, managers could undertake acquisition strategies that offer positive performance outcomes over a longer-term horizon. We replicate Humphery-Jenner's study to assess the boundaries and generalizability of his hypothesis. After we first reproduce his findings for his sample of 3935 acquisitions occurring between 1990 and 2005, we find no relationship between anti-takeover provisions, acquisitions by firms in hard-to-value industries, and firm performance in both an updated sample of acquisitions (3372 acquisitions made during 2006–2015) and a combined sample encompassing 7307 acquisitions spanning the complete 26-year period (1990–2015). We also find no relationships between anti-takeover provisions and acquisition performance in the replication. Overall, the beneficial managerial entrenchment hypothesis of acquisitions appears to have limits to its generalizability.",2024,"Bergh, D.; Powell, R.; Zhao, Y.",Journal of Management Scientific Reports,https://doi.org/10.1177/27550311231222555,,manual,replication,manual,manually added from DOI list,high
10.1111/cdev.13309,Children Learn From Both Embodied and Passive Pretense: A Replication and Extension,"Abstract 
                   Research suggests that children can learn new information via pretense. However, a fundamental problem with existing studies is that children are passive receivers of the pretense rather than active, engaged participants. This preregistered study replicates previous learning from pretense findings (Sutherland &amp; Friedman, 2012, Child Development), in which children are passive observers of pretense, and extends to two additional conditions that require children to partially (with puppets) or fully (with costumes) embody a character. Children (N = 144, 24–79 months) learned equally well, and better than those in the control condition, from all three play scenarios. At a 2-week follow-up, learning was equally retained across embodiment conditions for older, but not younger, preschoolers. Future research should consider embodiment’s role for more complex material.",2020,"Thompson, B.; Goldstein, T.",Child Development,https://doi.org/10.1111/cdev.13309,,manual,replication,manual,manually added from DOI list,high
10.1590/s0074-02761939000200006,"Estudos sobrea determinação da vitamina B¹ (aneurina, tiamina) na herva mate",,1939,"Villela, G.",Memórias do Instituto Oswaldo Cruz,https://doi.org/10.1590/s0074-02761939000200006,,manual,replication,manual,manually added from DOI list,high
10.1075/jsls.20004.cho,Crosslinguistic influence on L2 implicature computation for determiners,"Abstract 
				 This paper explores the extent to which L1-Korean L2-English speakers’ L1 influences the computation of
					conversational implicatures for the definite and demonstrative determiners  the  and  that  in
					English. Both  the  and  that  denote unique referents, but  that  carries
					implication of contrast ( Roberts, 2002 ). Following Submaxim 2 of the Gricean Quantity
					Maxim, using  that  instead of unmarked  the  implicates that the referent is being implicitly
					contrasted with other members of the same noun. Korean has no equivalent for  the  and the demonstrative
						 ku  ‘that’ is situated on the semantic scale between  the  and  that . This
					partial overlap could influence L1-Korean L2-English speakers’ implicature computation even though  ku  also
					carries implication of contrast. Acceptability judgment data indicate that unlike native speakers, L2 speakers did not show
					sensitivity to infelicitous use of  that , indicating difficulty computing implicatures. Results are discussed in
					terms of crosslinguistic influence at the semantics-pragmatics interface in L2 acquisition.",2022,"Cho, J.",Journal of Second Language Studies,https://doi.org/10.1075/jsls.20004.cho,,manual,replication,manual,manually added from DOI list,high
10.1177/0022487118761860,An Empirical Study of the Dimensionality of the Mathematical Knowledge for Teaching Construct,"This study explores the dimensionality of mathematical knowledge needed by elementary school teachers. Specifically, we focus on the construct of Mathematical Knowledge for Teaching to investigate whether common mathematical content knowledge (the generic mathematical knowledge that is held by an educated adult), specialized content knowledge (the content knowledge that is unique to teaching), and pedagogical content knowledge (knowledge of the content, students, and teaching) can be distinguished empirically. Findings from a secondary analysis of data collected from upper elementary teachers in the Measures of Effective Teaching project ( N = 397) suggest the most parsimonious explanation of Mathematical Knowledge for Teaching construct is that it is unidimensional. We argue, based on the findings and limitations we identified, that researchers should reconsider both the structure of the components that make up the content knowledge for teaching and the effects of item design on the dimensionality of the construct.",2019,"Copur-Gencturk, Y.; Tolar, T.; Jacobson, E.; Fan, W.",Journal of Teacher Education,https://doi.org/10.1177/0022487118761860,,manual,replication,manual,manually added from DOI list,high
10.1093/sf/soy014,"Working Hours and Carbon Dioxide Emissions in the United States, 2007–2013",,2018,"Fitzgerald, J.; Schor, J.; Jorgenson, A.",Social Forces,https://doi.org/10.1093/sf/soy014,,manual,replication,manual,manually added from DOI list,high
10.1017/S0142716409990014,Automatization in second language acquisition: What does the coefficient of variation tell us?,"ABSTRACT  Segalowitz and Segalowitz distinguish between “speedup” (mean reaction time [RT] and mean standard deviation of responses in an RT task decrease to the same degree) and “automatization” (mean standard deviation decreases more than mean RT). The coefficient of variation, which is the standard deviation divided by the mean RT, decreases in the case of automatization while remaining unchanged in the case of speedup. We present data that are collected in two studies. The first one is a longitudinal study spanning 2 years and comprising four RT tasks, both in second language (L2) English and first language Dutch ( N &gt; 200). The second study is an English L2 word training study. Students ( N = 41) performed a lexical decision task before and after training. Convincing evidence for automatization was not found in either study. The main problems in testing the Segalowitz and Segalowitz hypothesis is that gains in knowledge itself and gains in processing it cannot be adequately disentangled in the RT tasks currently used, characterized by a speed–accuracy trade-off. Although conceptually skill acquisition can be distinguished from knowledge accumulation, in reality , knowledge accumulation forms part of skill acquisition because, in real L2 learning, exposure to new words goes hand in hand with exposure to words encountered previously.",2009,"HULSTIJN, J.; VAN GELDEREN, A.; SCHOONEN, R.",Applied Psycholinguistics,https://doi.org/10.1017/s0142716409990014,,manual,replication,manual,manually added from DOI list,high
10.1891/0889-8391.22.4.303,Physical Exercise as Interoceptive Exposure Within a Brief Cognitive-Behavioral Treatment for Anxiety-Sensitive Women,"A brief cognitive-behavioral treatment intervention that included an interoceptive exposure (IE) component was previously demonstrated effective in decreasing fear of anxiety-related sensations in high anxiety-sensitive (AS) women (see Watt, Stewart, Birch, &amp; Bernier, 2006). The present process-based study explored the specific role of the IE component, consisting of 10 minutes of physical exercise (i.e., running) completed on 10 separate occasions, in explaining intervention efficacy. Affective and cognitive reactions and objective physiological reactivity to the running, recorded after each IE trial, were initially higher in the 20 high-AS participants relative to the 28 low-AS participants and decreased over IE trials in high-AS but not in low-AS participants. In contrast, self-reported somatic reactions, which were initially greater in the high-AS participants, decreased equally in both AS groups over IE trials. Findings were consistent with the theorized cognitive and/or habituation pathways to decreased AS.",2008,"Sabourin, B.; Stewart, S.; Sherry, S.; Watt, M.; Wald, J.; Grant, V.",Journal of Cognitive Psychotherapy,https://doi.org/10.1891/0889-8391.22.4.303,,manual,replication,manual,manually added from DOI list,high
10.1177/0011000012442650,Clinical Supervision in South Korea and the United States,"To provide cross-cultural empirical data for the advancement of supervisor competencies, we investigated differences in clinical supervision between South Korean and the United States from the supervisees’ perspective. Specifically, the comparative descriptive study had 191 South Korean and 187 U.S. supervisee participants receiving clinical supervision. Pursuing a hypothesis testing approach, comparative descriptive data across several variables suggested that there were more similarities than differences between supervision practices between the two cultures. Implications for theory, research, and practice were discussed.",2013,"Son, E.; Ellis, M.; Yoo, S.",The Counseling Psychologist,https://doi.org/10.1177/0011000012442650,,manual,replication,manual,manually added from DOI list,high
